Genesis 1:1	In the beginning, God created heaven and earth.
Genesis 1:2	But the earth was empty and unoccupied, and darknesses were over the face of the abyss; and so the Spirit of God was brought over the waters.
Genesis 1:3	And God said, “Let there be light.” And light became.
Genesis 1:4	And God saw the light, that it was good; and so he divided the light from the darknesses.
Genesis 1:5	And he called the light, ‘Day,’ and the darknesses, ‘Night.’ And it became evening and morning, one day.
Genesis 1:6	God also said, “Let there be a firmament in the midst of the waters, and let it divide waters from waters.”
Genesis 1:7	And God made a firmament, and he divided the waters that were under the firmament, from those that were above the firmament. And so it became.
Genesis 1:8	And God called the firmament ‘Heaven.’ And it became evening and morning, the second day.
Genesis 1:9	Truly God said: “Let the waters that are under heaven be gathered together into one place; and let the dry land appear.” And so it became.
Genesis 1:10	And God called the dry land, ‘Earth,’ and he called the gathering of the waters, ‘Seas.’ And God saw that it was good.
Genesis 1:11	And he said, “Let the land spring forth green plants, both those producing seed, and fruit-bearing trees, producing fruit according to their kind, whose seed is within itself, over all the earth.” And so it became.
Genesis 1:12	And the land brought forth green plants, both those producing seed, according to their kind, and trees producing fruit, with each having its own way of sowing, according to its species. And God saw that it was good.
Genesis 1:13	And it became evening and the morning, the third day.
Genesis 1:14	Then God said: “Let there be lights in the firmament of heaven. And let them divide day from night, and let them become signs, both of the seasons, and of the days and years.
Genesis 1:15	Let them shine in the firmament of heaven and illuminate the earth.” And so it became.
Genesis 1:16	And God made two great lights: a greater light, to rule over the day, and a lesser light, to rule over the night, along with the stars.
Genesis 1:17	And he set them in the firmament of heaven, to give light over all the earth,
Genesis 1:18	and to rule over the day as well as the night, and to divide light from darkness. And God saw that it was good.
Genesis 1:19	And it became evening and morning, the fourth day.
Genesis 1:20	And then God said, “Let the waters produce animals with a living soul, and flying creatures above the earth, under the firmament of heaven.”
Genesis 1:21	And God created the great sea creatures, and everything with a living soul and the ability to move that the waters produced, according to their species, and all the flying creatures, according to their kind. And God saw that it was good.
Genesis 1:22	And he blessed them, saying: “Increase and multiply, and fill the waters of the sea. And let the birds be multiplied above the land.”
Genesis 1:23	And it became evening and morning, the fifth day.
Genesis 1:24	God also said, “Let the land produce living souls in their kind: cattle, and animals, and wild beasts of the earth, according to their species.” And so it became.
Genesis 1:25	And God made the wild beasts of the earth according to their species, and the cattle, and every animal on the land, according to its kind. And God saw that it was good.
Genesis 1:26	And he said: “Let us make Man to our image and likeness. And let him rule over the fish of the sea, and the flying creatures of the air, and the wild beasts, and the entire earth, and every animal that moves on the earth.”
Genesis 1:27	And God created man to his own image; to the image of God he created him; male and female, he created them.
Genesis 1:28	And God blessed them, and he said, “Increase and multiply, and fill the earth, and subdue it, and have dominion over the fish of the sea, and the flying creatures of the air, and over every living thing that moves upon the earth.”
Genesis 1:29	And God said: “Behold, I have given you every seed-bearing plant upon the earth, and all the trees that have in themselves the ability to sow their own kind, to be food for you,
Genesis 1:30	and for all the animals of the land, and for all the flying things of the air, and for everything that moves upon the earth and in which there is a living soul, so that they may have these on which to feed.” And so it became.
Genesis 1:31	And God saw everything that he had made. And they were very good. And it became evening and morning, the sixth day.
Genesis 2:1	And so the heavens and the earth were completed, with all their adornment.
Genesis 2:2	And on the seventh day, God fulfilled his work, which he had made. And on the seventh day he rested from all his work, which he had accomplished.
Genesis 2:3	And he blessed the seventh day and sanctified it. For in it, he had ceased from all his work: the work whereby God created whatever he should make.
Genesis 2:4	These are the generations of heaven and earth, when they were created, in the day when the Lord God made heaven and earth,
Genesis 2:5	and every sapling of the field, before it would rise up in the land, and every wild plant, before it would germinate. For the Lord God had not brought rain upon the earth, and there was no man to work the land.
Genesis 2:6	But a fountain ascended from the earth, irrigating the entire surface of the land.
Genesis 2:7	And then the Lord God formed man from the clay of the earth, and he breathed into his face the breath of life, and man became a living soul.
Genesis 2:8	Now the Lord God had planted a Paradise of enjoyment from the beginning. In it, he placed the man whom he had formed.
